timestamp,symbol,current_price,call_gex,put_gex,total_gex,expiration_date
2024-11-12 10:20:59.503145,SPY,597.459716796875,6123610.090088544,-9491089.11562618,-3367479.025537636,2024-11-12
2024-11-12 10:21:00.916830,QQQ,513.2000122070312,3852302.948374716,-6606568.087787028,-2754265.1394123123,2024-11-12
2024-11-12 10:23:03.323752,SPY,597.22998046875,5687567.968683049,10468374.995208554,16155942.963891605,2024-11-12
2024-11-12 10:23:04.603437,QQQ,513.0556030273438,3683519.364081811,6911642.819884409,10595162.18396622,2024-11-12
2024-11-12 10:25:20.630096,SPY,597.030029296875,5412945.523638988,10658322.118254904,16071267.641893892,2024-11-12
2024-11-12 10:25:21.708251,QQQ,512.6099853515625,3478747.41002209,6088991.759520436,9567739.169542523,2024-11-12
2024-11-12 10:29:32.143305,SPY,597.1649780273438,6145404.440463014,10737081.509092445,16882485.949555457,2024-11-12
2024-11-12 10:29:34.051726,QQQ,512.8699951171875,4492048.186265743,6179182.394586884,10671230.580852628,2024-11-12
2024-11-12 10:34:36.535527,SPY,597.155029296875,6366120.903095672,10943011.445521995,17309132.348617665,2024-11-12
2024-11-12 10:34:40.520051,QQQ,512.85400390625,4422964.471688345,6956351.412560405,11379315.88424875,2024-11-12
2024-11-12 10:39:42.851485,SPY,596.4400024414062,4986495.613966954,10140299.296031369,15126794.909998324,2024-11-12
2024-11-12 10:39:44.870148,QQQ,512.3198852539062,3888946.2958578495,7023029.84368892,10911976.13954677,2024-11-12
2024-11-12 10:44:46.793708,SPY,596.5599975585938,5366141.9516418,9667748.24610579,15033890.19774759,2024-11-12
2024-11-12 10:44:48.333474,QQQ,512.27001953125,4170092.638523931,7104862.49827683,11274955.13680076,2024-11-12
2024-11-12 10:49:50.864220,SPY,596.3599853515625,5053817.065345828,4873093.829152292,9926910.89449812,2024-11-12
2024-11-12 10:49:52.730259,QQQ,512.0599975585938,3997465.196153882,5887249.235561414,9884714.431715297,2024-11-12
2024-11-12 10:54:54.812621,SPY,597.1170043945312,7682209.018442902,12047236.74919054,19729445.76763344,2024-11-12
2024-11-12 10:54:57.036394,QQQ,513.0499877929688,6930588.657545372,6381200.247262753,13311788.904808125,2024-11-12
2024-11-12 10:59:59.326364,SPY,596.4400024414062,5749460.1506307535,11849660.678849095,17599120.82947985,2024-11-12
2024-11-12 11:00:01.339544,QQQ,512.2449951171875,4948983.186285262,8711367.27543422,13660350.461719483,2024-11-12
2024-11-12 11:05:04.328748,SPY,596.6799926757812,6543646.331023291,9617014.599305982,16160660.930329273,2024-11-12
2024-11-12 11:05:06.277216,QQQ,512.5399780273438,5866375.808067036,8503839.3998506,14370215.207917634,2024-11-12
2024-11-12 11:10:08.527339,SPY,596.5493774414062,6955991.24887404,12401849.073633716,19357840.32250776,2024-11-12
2024-11-12 11:10:10.558778,QQQ,512.228271484375,5735319.661576573,8200139.142502302,13935458.804078875,2024-11-12
2024-11-12 11:15:13.681599,SPY,596.4600219726562,6945068.060938354,13274352.18810119,20219420.249039546,2024-11-12
2024-11-12 11:15:15.432333,QQQ,512.1599731445312,5843834.212900417,8785171.722155862,14629005.935056278,2024-11-12
2024-11-12 11:20:17.613970,SPY,596.2501220703125,6699297.312252728,13313557.651386706,20012854.963639434,2024-11-12
2024-11-12 11:20:19.286492,QQQ,511.989990234375,5795124.631011396,9014534.021770114,14809658.652781509,2024-11-12
2024-11-12 11:25:21.854325,SPY,596.2576293945312,6948798.0140729975,14656729.862090869,21605527.876163863,2024-11-12
2024-11-12 11:25:24.318582,QQQ,512.010009765625,5323672.211945704,7694755.070628286,13018427.28257399,2024-11-12
2024-11-12 11:29:01.410289,SPY,596.3800048828125,8074001.4380338,14705277.523210255,22779278.96124405,2024-11-12
2024-11-12 11:29:05.336366,QQQ,512.228515625,6795877.3605921725,9838706.662358986,16634584.02295116,2024-11-12
2024-11-12 11:33:25.005059,SPY,596.4099731445312,8583696.006502865,15355616.59480894,23939312.601311803,2024-11-12
2024-11-12 11:33:27.852857,QQQ,512.4000244140625,7780540.017584092,8927233.417517452,16707773.435101544,2024-11-12
2024-11-12 11:35:51.091686,SPY,596.5399780273438,8997947.611055544,16847161.849361714,25845109.460417256,2024-11-12
2024-11-12 11:35:53.619772,QQQ,512.4500122070312,7537185.857118765,10082109.598925965,17619295.456044726,2024-11-12
2024-11-12 11:40:57.002515,SPY,596.3599853515625,8497707.129044907,15972301.867906738,24470008.996951647,2024-11-12
2024-11-12 11:40:59.421225,QQQ,512.25,7379303.514953995,10091172.988781236,17470476.50373523,2024-11-12
2024-11-12 11:46:01.569644,SPY,595.9901733398438,7475634.721779821,14741276.976830652,22216911.69861048,2024-11-12
2024-11-12 11:46:03.856489,QQQ,511.6600036621094,5922043.026658937,10482560.250838134,16404603.277497072,2024-11-12
2024-11-12 11:51:06.718997,SPY,595.89990234375,7426407.818718529,13917825.391601432,21344233.21031996,2024-11-12
2024-11-12 11:51:09.211065,QQQ,511.60400390625,5935726.236115223,10356629.961529482,16292356.197644703,2024-11-12
2024-11-12 11:56:11.587053,SPY,595.6898193359375,6911033.894841203,10585749.593294011,17496783.488135215,2024-11-12
2024-11-12 11:56:13.899069,QQQ,511.2300109863281,5347948.441455705,11089889.306313392,16437837.747769097,2024-11-12
2024-11-12 12:01:16.092349,SPY,594.6699829101562,5046281.970717405,4277042.114434077,9323324.085151482,2024-11-12
2024-11-12 12:01:18.387310,QQQ,510.1098937988281,3803602.448637285,8582920.614049954,12386523.06268724,2024-11-12
