contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,gex,timestamp,current_price,expiration
SPY241112C00563000,2024-11-11 18:37:15+00:00,563.0,35.15,34.6,35.17,0.0,0.0,1.0,13,0.7690452783203126,True,REGULAR,USD,call,6.963943415949257,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00564000,2024-11-05 14:48:47+00:00,564.0,13.46,33.49,34.04,0.0,0.0,1.0,4,0.7216824707031251,True,REGULAR,USD,call,2.4408440241715006,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00565000,2024-11-12 15:23:07+00:00,565.0,33.09,32.3,33.12,0.45999908,1.4097428,20.0,28,0.6894562304687502,True,REGULAR,USD,call,23.59087454159049,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00566000,2024-11-07 20:57:22+00:00,566.0,29.85,31.25,31.97,0.0,0.0,2.0,9,0.6445348046875,True,REGULAR,USD,call,5.24862880967971,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00567000,2024-11-11 18:58:00+00:00,567.0,31.39,30.36,30.97,0.0,0.0,3.0,122,0.6430699755859376,True,REGULAR,USD,call,64.81436325773066,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00568000,2024-11-12 15:23:07+00:00,568.0,30.09,29.37,30.06,-1.5599995,-4.928908,20.0,179,0.63867548828125,True,REGULAR,USD,call,111.1331185235301,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00569000,2024-11-08 19:42:07+00:00,569.0,30.61,28.3,29.04,0.0,0.0,10.0,92,0.6098671826171876,True,REGULAR,USD,call,57.889905178264655,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00570000,2024-11-12 14:46:56+00:00,570.0,28.79,27.52,28.17,0.45000076,1.5878644,9.0,110,0.6333044482421876,True,REGULAR,USD,call,77.37789283477731,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00571000,2024-11-12 14:57:03+00:00,571.0,27.95,26.36,27.06,0.6800003,2.4935837,1.0,149,0.5844768115234374,True,REGULAR,USD,call,95.5661586903258,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00572000,2024-11-11 18:06:58+00:00,572.0,26.49,25.4,25.95,0.9599991,3.7602782,8.0,584,0.5585981640625001,True,REGULAR,USD,call,387.6206541158952,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00573000,2024-11-12 14:30:00+00:00,573.0,25.75,24.36,25.05,0.26000023,1.0200088,1.0,380,0.5478560839843751,True,REGULAR,USD,call,266.7902372938205,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00574000,2024-11-12 14:30:00+00:00,574.0,24.71,23.23,24.15,0.15999985,0.65173054,1.0,209,0.5268602001953125,True,REGULAR,USD,call,153.53309868709331,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00575000,2024-11-11 18:25:27+00:00,575.0,23.25,22.2,23.02,1.0699997,4.8241644,2.0,214,0.5747112841796875,True,REGULAR,USD,call,189.23601984459248,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00576000,2024-11-11 18:30:17+00:00,576.0,22.87,21.1,22.02,0.9900017,4.524688,1.0,139,0.5551802294921876,True,REGULAR,USD,call,129.21137551134345,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00577000,2024-11-11 20:49:08+00:00,577.0,21.42,20.23,21.01,0.0,0.0,12.0,93,0.534184345703125,True,REGULAR,USD,call,102.09867483336376,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00578000,2024-11-12 14:37:02+00:00,578.0,20.21,19.39,19.96,-0.33000183,-1.6066301,11.0,118,0.50586431640625,True,REGULAR,USD,call,131.03601812632095,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00579000,2024-11-12 15:06:34+00:00,579.0,19.04,18.3,19.01,0.22000122,1.1689757,3.0,96,0.4946339599609375,True,REGULAR,USD,call,107.99596770216596,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00580000,2024-11-12 15:41:18+00:00,580.0,18.03,17.3,17.94,-0.21999931,-1.2054757,191.0,556,0.4633842724609375,True,REGULAR,USD,call,852.222779768854,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00581000,2024-11-12 15:25:55+00:00,581.0,17.08,16.33,17.09,-0.19000053,-1.1001768,4.0,316,0.4672904833984375,True,REGULAR,USD,call,401.8961992054854,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00582000,2024-11-12 15:26:16+00:00,582.0,16.07,15.4,16.0,-0.47999954,-2.9002995,102.0,638,0.4331111376953125,True,REGULAR,USD,call,977.2852707849008,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00583000,2024-11-11 20:49:08+00:00,583.0,15.51,14.17,14.93,0.0,0.0,28.0,157,0.4023497265625,True,REGULAR,USD,call,258.5188649723162,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00584000,2024-11-12 15:06:35+00:00,584.0,13.96,13.21,14.0,-0.23999977,-1.6901393,15.0,375,0.3923400610351562,True,REGULAR,USD,call,596.0365736814596,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00585000,2024-11-12 15:19:23+00:00,585.0,13.09,12.6,12.94,-0.4499998,-3.3234847,28.0,583,0.3630434790039062,True,REGULAR,USD,call,1000.0102302178084,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00586000,2024-11-12 15:33:00+00:00,586.0,11.92,11.24,12.06,-0.89000034,-6.947699,20.0,421,0.3586489916992187,True,REGULAR,USD,call,800.2466539507017,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00587000,2024-11-12 15:11:10+00:00,587.0,11.59,10.41,10.92,0.09000015,0.78261,23.0,241,0.3183661914062499,True,REGULAR,USD,call,513.5932445036643,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00588000,2024-11-12 15:03:13+00:00,588.0,10.59,9.38,10.0,-0.21000004,-1.9444448,28.0,396,0.3076241113281249,True,REGULAR,USD,call,920.3282077015792,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00589000,2024-11-12 14:59:20+00:00,589.0,9.13,8.54,8.66,-0.23999977,-2.5613637,26.0,289,0.2402419726562499,True,REGULAR,USD,call,702.6388560819756,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00590000,2024-11-12 15:38:55+00:00,590.0,8.36,7.64,7.75,-0.5,-5.643341,107.0,1517,0.2316971362304687,True,REGULAR,USD,call,4220.457482370134,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00591000,2024-11-12 15:40:46+00:00,591.0,6.99,6.58,6.68,-0.87000036,-11.0687065,280.0,787,0.2011798632812499,True,REGULAR,USD,call,3103.839591187702,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00592000,2024-11-12 15:46:27+00:00,592.0,5.78,5.8,5.88,-0.6899996,-10.664599,349.0,778,0.2028888305664062,True,REGULAR,USD,call,3958.83813534357,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00593000,2024-11-12 15:44:46+00:00,593.0,4.72,4.82,4.94,-1.2800002,-21.333336,505.0,1157,0.1853108813476562,True,REGULAR,USD,call,6895.005098767635,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00594000,2024-11-12 15:44:00+00:00,594.0,3.95,3.76,3.82,-0.8700001,-18.049795,495.0,2337,0.1479577392578125,True,REGULAR,USD,call,14216.271241683888,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00595000,2024-11-12 15:45:30+00:00,595.0,2.84,2.98,3.02,-1.0400002,-26.804129,884.0,3736,0.1401453173828125,True,REGULAR,USD,call,28837.414965548727,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00596000,2024-11-12 15:46:27+00:00,596.0,2.07,2.03,2.06,-1.02,-32.79743,2624.0,3200,0.1137783935546875,True,REGULAR,USD,call,47941.15662984291,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00597000,2024-11-12 15:46:27+00:00,597.0,1.32,1.33,1.35,-0.9699999,-42.358074,10596.0,5160,0.1025480371093749,True,REGULAR,USD,call,167549.30397469585,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00598000,2024-11-12 15:46:34+00:00,598.0,0.7,0.71,0.72,-0.91,-56.17284,60473.0,8261,0.08789974609375,False,REGULAR,USD,call,955950.0983430562,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00599000,2024-11-12 15:46:38+00:00,599.0,0.32,0.31,0.32,-0.77000004,-70.642204,147407.0,9030,0.0786224951171875,False,REGULAR,USD,call,2522837.441494651,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00600000,2024-11-12 15:46:40+00:00,600.0,0.12,0.11,0.12,-0.56,-83.582085,146983.0,17106,0.0737397314453125,False,REGULAR,USD,call,2465358.458524258,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00601000,2024-11-12 15:46:37+00:00,601.0,0.05,0.05,0.06,-0.35,-87.5,69151.0,8042,0.07813421875,False,REGULAR,USD,call,835542.0550221555,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00602000,2024-11-12 15:46:18+00:00,602.0,0.03,0.02,0.03,-0.19,-86.36364,38051.0,12658,0.0820404296875,False,REGULAR,USD,call,361034.6549968008,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00603000,2024-11-12 15:46:34+00:00,603.0,0.01,0.01,0.02,-0.09,-90.0,21510.0,21358,0.0898528515625,False,REGULAR,USD,call,199482.59529866232,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00604000,2024-11-12 15:45:35+00:00,604.0,0.01,0.01,0.02,-0.04,-80.00001,6839.0,9075,0.1035245898437499,False,REGULAR,USD,call,54384.43701417443,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00605000,2024-11-12 15:46:02+00:00,605.0,0.01,0.0,0.01,-0.02,-66.66667,6579.0,16435,0.1054776953125,False,REGULAR,USD,call,48325.63750207782,2024-11-14 14:15:00.610728,593.4451293945312,
SPY241112C00606000,2024-11-12 15:45:02+00:00,606.0,0.01,0.0,0.01,-0.01,-50.0,382.0,9898,0.117196328125,False,REGULAR,USD,call,16621.32117362677,2024-11-14 14:15:00.610728,593.4451293945312,
