contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,type,gex,timestamp,current_price
QQQ241112C00483000,2024-11-11 17:37:29+00:00,483.0,30.01,30.46,31.36,0.0,0.0,1.0,97,0.7963887548828125,True,REGULAR,USD,2024-11-12,call,61.44935980507753,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00484000,2024-11-11 18:22:52+00:00,484.0,27.2,29.21,30.01,0.0,0.0,1.0,117,0.6806672558593752,True,REGULAR,USD,2024-11-12,call,64.61088802524286,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00485000,2024-11-11 19:30:45+00:00,485.0,27.4,27.97,28.86,0.0,0.0,3.0,200,0.5751995605468749,True,REGULAR,USD,2024-11-12,call,87.33649757600031,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00486000,2024-11-06 15:44:05+00:00,486.0,17.21,27.33,28.35,0.0,0.0,7.0,74,0.7138700488281251,True,REGULAR,USD,2024-11-12,call,56.62853742095139,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00487000,2024-11-12 15:50:42+00:00,487.0,26.83,26.34,27.31,0.030000687,0.11325288,44.0,492,0.6889679541015626,True,REGULAR,USD,2024-11-12,call,391.1136606670604,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00488000,2024-11-08 20:03:33+00:00,488.0,25.87,25.44,26.15,0.0,0.0,1.0,94,0.6601596484375001,True,REGULAR,USD,2024-11-12,call,71.99190131572838,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00489000,2024-11-12 15:47:12+00:00,489.0,24.8,24.37,25.13,0.09000015,0.36422566,12.0,429,0.6269568554687501,True,REGULAR,USD,2024-11-12,call,344.6856612011693,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00490000,2024-11-11 20:05:31+00:00,490.0,23.53,23.37,24.11,0.6400013,2.7959864,42.0,340,0.6035195898437502,True,REGULAR,USD,2024-11-12,call,313.9150107037859,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00491000,2024-11-11 20:14:50+00:00,491.0,22.27,22.52,23.11,0.0,0.0,31.0,272,0.6025430371093752,True,REGULAR,USD,2024-11-12,call,272.973535563287,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00492000,2024-11-11 19:05:31+00:00,492.0,20.79,21.61,22.19,0.0,0.0,12.0,251,0.6020547607421877,True,REGULAR,USD,2024-11-12,call,258.9408669743232,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00493000,2024-11-12 14:31:54+00:00,493.0,20.73,20.64,21.09,0.6700001,3.3399806,5.0,189,0.5722699023437501,True,REGULAR,USD,2024-11-12,call,200.6323897543096,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00494000,2024-11-11 20:12:43+00:00,494.0,19.22,19.55,20.15,0.03999901,0.2085454,1.0,273,0.5468795312500001,True,REGULAR,USD,2024-11-12,call,300.22241924322174,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00495000,2024-11-12 15:12:10+00:00,495.0,19.13,18.61,19.12,1.3199997,7.411565,3.0,411,0.5288133056640626,True,REGULAR,USD,2024-11-12,call,486.95751301006726,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00496000,2024-11-11 20:52:21+00:00,496.0,17.98,17.46,18.08,0.32999992,1.869688,1.0,533,0.5505416040039064,True,REGULAR,USD,2024-11-12,call,702.5713845971184,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00497000,2024-11-11 18:54:46+00:00,497.0,16.88,16.62,17.29,0.6899986,4.2618814,1.0,167,0.5031787963867188,True,REGULAR,USD,2024-11-12,call,232.1270005903006,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00498000,2024-11-12 15:11:44+00:00,498.0,16.08,15.66,16.0,0.40999985,2.6164637,279.0,553,0.4890187817382813,True,REGULAR,USD,2024-11-12,call,1246.969150031361,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00499000,2024-11-11 20:43:03+00:00,499.0,14.45,14.6,15.15,0.0,0.0,12.0,633,0.4924367163085938,True,REGULAR,USD,2024-11-12,call,1059.255733571032,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00500000,2024-11-12 15:29:35+00:00,500.0,13.78,13.44,14.14,-0.22000027,-1.5714304,27.0,455,0.4665580688476562,True,REGULAR,USD,2024-11-12,call,855.9791933459239,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00501000,2024-11-12 14:54:45+00:00,501.0,13.19,12.61,13.14,0.8499994,6.8881636,31.0,387,0.4421442504882812,True,REGULAR,USD,2024-11-12,call,807.0453546316763,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00502000,2024-11-12 15:40:23+00:00,502.0,11.83,11.47,12.1,-0.39000034,-3.191492,17.0,335,0.4108945629882812,True,REGULAR,USD,2024-11-12,call,742.3755387415456,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00503000,2024-11-12 14:40:39+00:00,503.0,11.12,10.63,11.12,-0.13000011,-1.1555566,7.0,454,0.3891662646484375,True,REGULAR,USD,2024-11-12,call,1070.177882304102,2024-11-14 14:15:03.231608,508.5199890136719
QQQ241112C00504000,2024-11-12 15:37:57+00:00,504.0,10.1,9.58,10.12,0.4300003,4.4467454,3.0,346,0.3637758935546875,True,REGULAR,USD,2024-11-12,call,897.8971895152997,2024-11-14 14:15:03.231608,508.5199890136719
